lux,r,g,b,decision
17.1,171,119,124,OFF
6.6,106,147,89,OFF
10.7,190,143,170,OFF
8.7,195,164,68,OFF
10.5,104,115,123,WHITE
11.1,117,157,122,OFF
11.0,197,103,110,OFF
22.1,144,76,61,OFF
6.6,61,80,147,OFF
17.2,94,74,142,OFF
25.1,140,168,86,OFF
11.3,103,72,140,OFF
9.7,133,140,127,WHITE
13.6,151,119,62,OFF
24.8,208,126,79,BOTH
16.9,138,182,157,OFF
11.1,193,113,125,OFF
19.3,207,153,90,OFF
6.6,207,131,79,OFF
20.8,161,124,92,OFF
18.7,71,218,95,OFF
12.9,168,74,79,OFF
8.7,192,179,44,OFF
8.3,146,155,157,OFF
19.7,220,111,151,OFF
25.2,184,192,62,OFF
10.3,173,59,118,RED
19.1,193,110,77,OFF
0.0,163,83,102,WHITE
10.7,50,145,99,OFF
15.1,130,87,96,BOTH
8.1,198,146,191,OFF
7.9,117,123,95,BOTH
10.1,141,111,81,OFF
17.7,108,145,82,OFF
13.9,221,119,154,OFF
0.0,217,88,47,OFF
0.0,114,237,82,WHITE
10.5,156,111,170,OFF
19.1,122,45,122,OFF
0.0,174,97,120,OFF
11.4,170,81,197,OFF
11.2,182,161,122,OFF
26.5,163,142,85,OFF
12.3,255,145,101,OFF
18.5,108,115,68,OFF
16.5,81,119,162,OFF
0.0,134,115,135,OFF
21.5,87,127,157,OFF
17.1,90,162,160,OFF
19.5,110,143,96,OFF
46.8,113,149,75,WHITE
0.0,111,149,110,RED
29.2,170,164,78,BOTH
13.1,129,141,119,OFF
17.7,143,143,157,WHITE
15.0,186,175,106,OFF
12.0,119,104,118,OFF
10.8,139,97,109,OFF
18.0,164,84,144,RED
3.3,72,137,86,WHITE
21.4,54,59,26,OFF
12.1,164,147,131,OFF
6.4,169,125,151,OFF
11.8,233,173,130,BOTH
25.4,156,104,87,RED
11.1,183,122,68,OFF
18.3,142,173,132,OFF
9.6,162,183,118,OFF
21.5,217,104,108,RED
20.9,65,137,184,RED
30.2,166,141,75,OFF
14.0,235,144,182,OFF
20.7,161,120,114,WHITE
16.2,216,179,40,OFF
25.7,124,57,105,BOTH
9.6,148,114,150,OFF
21.3,151,147,98,RED
13.8,61,147,54,RED
14.9,103,182,106,OFF
16.1,106,176,79,BOTH
17.4,183,119,132,OFF
14.5,185,180,143,RED
17.1,163,102,71,BOTH
28.0,183,165,85,OFF
23.3,143,199,142,OFF
22.3,198,176,79,OFF
11.8,150,134,70,RED
8.3,152,117,66,WHITE
23.0,139,71,126,OFF
22.4,177,142,125,RED
27.2,133,87,86,OFF
10.6,189,99,113,OFF
13.6,104,84,173,OFF
2.3,106,112,74,OFF
12.3,177,129,36,OFF
23.4,146,140,130,OFF
11.7,132,107,108,OFF
20.5,185,171,85,RED
13.9,125,122,138,OFF
18.0,142,99,146,OFF
6.2,206,138,25,OFF
16.1,211,205,87,BOTH
0.0,213,143,204,RED
13.9,138,116,135,RED
2.4,199,71,139,WHITE
25.0,112,121,159,OFF
21.6,113,139,113,OFF
19.1,55,115,144,WHITE
27.5,217,66,141,RED
7.8,115,97,134,OFF
29.4,145,185,100,OFF
22.8,113,185,119,WHITE
13.5,178,96,89,BOTH
24.5,135,156,113,BOTH
6.6,97,84,66,OFF
8.8,167,184,81,OFF
10.5,92,139,101,OFF
11.2,116,166,75,OFF
6.9,65,64,93,WHITE
25.2,93,156,106,OFF
13.3,157,129,128,OFF
18.2,71,162,150,OFF
10.8,90,165,94,RED
0.8,150,132,165,OFF
17.6,128,107,149,OFF
0.1,230,160,132,OFF
14.8,223,127,119,OFF
4.5,115,96,125,BOTH
31.3,172,94,159,RED
22.7,180,73,161,OFF
16.2,126,110,165,WHITE
25.5,90,172,114,OFF
8.6,149,137,134,RED
19.7,143,109,165,OFF
17.0,132,161,88,RED
17.5,167,98,100,OFF
25.6,120,133,113,OFF
21.2,103,123,148,OFF
17.7,154,160,149,OFF
2.2,165,69,103,RED
7.7,103,97,53,OFF
14.4,187,67,122,OFF
16.1,79,120,76,RED
6.4,127,176,54,OFF
34.7,139,110,63,RED
27.5,124,110,125,OFF
20.2,127,163,166,OFF
16.0,225,171,114,BOTH
13.7,116,126,121,OFF
7.8,248,156,159,OFF
16.0,167,88,52,RED
17.5,153,183,133,OFF
5.5,169,212,112,OFF
18.1,251,150,135,WHITE
14.2,110,50,93,OFF
0.1,105,108,80,WHITE
8.5,119,153,118,OFF
12.1,151,114,178,OFF
30.5,80,179,146,RED
19.8,151,152,92,RED
4.7,218,103,60,WHITE
19.3,156,131,46,BOTH
3.0,138,95,164,OFF
24.0,125,123,75,OFF
11.6,186,108,100,OFF
14.6,117,175,165,OFF
26.0,224,211,49,OFF
5.1,227,75,171,RED
4.2,160,56,103,OFF
10.7,149,120,67,RED
23.7,191,71,103,RED
3.2,194,131,84,OFF
0.0,117,158,130,OFF
11.8,129,187,87,OFF
19.8,97,137,37,OFF
25.0,166,122,104,RED
11.7,176,54,59,OFF
12.1,96,131,121,WHITE
24.6,131,132,66,OFF
0.4,96,154,93,OFF
12.3,114,103,120,RED
16.9,172,113,104,OFF
19.0,120,73,122,OFF
11.3,138,42,139,OFF
15.7,84,87,67,OFF
0.0,157,69,110,OFF
10.1,148,143,0,BOTH
19.0,120,110,122,OFF
7.5,142,109,101,OFF
15.9,157,92,74,OFF
19.0,117,6,125,OFF
12.7,90,188,159,OFF
16.8,222,91,94,OFF
7.7,124,114,75,OFF
13.7,146,74,119,OFF
20.3,190,167,60,OFF
16.6,255,135,86,RED
10.7,100,98,161,OFF
17.2,168,115,115,RED
21.1,121,194,38,OFF
0.0,128,127,42,OFF
24.7,121,123,119,OFF
12.7,105,94,146,OFF
18.8,148,57,49,OFF
25.0,91,124,130,BOTH
4.4,188,142,165,OFF
9.7,152,172,187,BOTH
13.1,167,43,126,OFF
9.1,131,87,132,OFF
29.3,135,107,28,OFF
8.5,161,130,195,OFF
11.0,103,124,90,WHITE
17.0,135,125,76,RED
5.8,115,145,102,RED
12.2,114,95,172,OFF
17.9,65,166,200,OFF
12.7,203,146,117,BOTH
14.6,122,117,152,OFF
11.2,196,191,114,RED
3.3,193,189,72,OFF
18.0,98,165,171,BOTH
29.4,106,14,88,RED
15.5,252,190,173,BOTH
17.2,220,160,164,OFF
20.9,148,207,137,OFF
5.2,160,177,185,OFF
29.0,124,190,200,OFF
17.0,167,163,106,RED
28.4,121,181,81,OFF
9.5,68,206,39,OFF
29.9,97,138,201,OFF
21.6,151,69,95,WHITE
19.8,104,118,157,OFF
17.3,147,145,83,OFF
13.4,107,133,173,OFF
25.0,118,82,85,OFF
16.5,184,67,66,BOTH
0.0,160,101,104,OFF
6.5,149,161,92,OFF
13.9,185,190,136,OFF
17.9,169,165,110,OFF
14.9,208,170,137,OFF
25.1,131,127,101,OFF
0.0,132,63,86,OFF
16.5,98,112,90,OFF
0.9,133,120,193,RED
21.5,188,111,121,RED
14.6,202,132,34,BOTH
18.7,188,147,92,WHITE
8.5,78,162,116,OFF
25.6,193,119,185,OFF
23.7,76,57,153,RED
20.1,186,111,76,OFF
14.4,135,131,208,OFF
20.0,178,177,111,OFF
9.7,96,108,162,OFF
22.2,197,149,67,OFF
28.6,91,141,18,OFF
23.9,123,131,57,OFF
9.6,110,165,0,RED
18.3,79,104,196,OFF
5.1,153,108,121,BOTH
20.0,222,129,76,OFF
19.0,255,105,130,OFF
0.4,154,149,120,OFF
6.1,194,102,137,OFF
13.1,159,138,160,OFF
13.0,170,126,101,OFF
5.7,136,138,78,RED
18.5,158,112,145,RED
17.4,171,117,144,OFF
13.8,127,133,116,OFF
9.4,147,137,198,OFF
23.8,147,130,95,OFF
28.6,183,195,77,OFF
11.5,107,92,129,BOTH
10.5,148,127,86,OFF
19.3,226,69,132,RED
12.5,196,144,80,OFF
14.3,204,87,97,RED
21.3,151,119,187,OFF
0.1,163,115,97,RED
25.9,190,140,81,WHITE
16.0,212,108,159,OFF
12.1,71,107,71,OFF
14.7,97,185,85,BOTH
15.1,202,141,135,RED
1.6,139,108,149,OFF
27.3,123,120,161,OFF
15.7,99,193,83,OFF
18.9,127,121,136,OFF
23.0,93,103,94,OFF
7.2,234,103,89,OFF
19.2,149,109,160,OFF
13.3,147,107,91,RED
22.2,173,81,123,WHITE
0.0,188,87,119,OFF
14.6,188,98,70,RED
10.6,193,152,151,OFF
18.8,124,115,135,OFF
19.1,138,122,34,WHITE
9.7,181,178,123,OFF
9.7,129,179,82,OFF
14.5,150,119,156,OFF
8.2,166,105,56,OFF
22.1,181,97,98,RED
12.4,78,156,127,BOTH
0.0,178,122,115,RED
12.4,140,115,143,WHITE
7.1,178,98,53,RED
2.4,181,100,178,WHITE
5.5,214,142,133,OFF
16.3,204,79,166,WHITE
26.0,204,168,147,OFF
17.9,208,109,112,WHITE
10.5,161,124,62,OFF
19.0,151,78,90,RED
11.7,185,129,175,RED
9.8,179,117,167,BOTH
6.2,137,128,88,RED
1.4,166,186,1,OFF
12.3,148,137,104,OFF
16.7,115,99,101,OFF
14.6,201,102,103,OFF
12.1,152,153,133,OFF
7.8,232,180,147,OFF
20.3,85,141,152,OFF
4.9,127,156,130,WHITE
21.6,151,153,42,WHITE
7.4,195,184,99,OFF
9.4,166,55,203,OFF
3.7,162,155,127,OFF
11.4,104,167,127,OFF
23.2,103,78,127,OFF
19.5,163,96,129,OFF
23.2,95,97,19,OFF
19.6,128,102,103,OFF
6.6,170,111,111,OFF
12.7,110,139,163,OFF
9.2,214,163,114,OFF
26.0,199,171,48,RED
5.8,87,98,129,OFF
22.5,112,97,81,OFF
22.5,58,180,65,OFF
30.0,118,155,80,OFF
12.1,180,133,134,OFF
21.1,133,148,162,OFF
33.6,168,129,132,OFF
10.5,89,150,137,OFF
3.1,182,117,131,RED
0.4,127,140,117,OFF
21.1,150,72,140,OFF
0.3,146,103,17,OFF
12.4,99,104,117,OFF
18.9,103,115,71,WHITE
16.9,189,94,158,OFF
18.8,166,109,107,OFF
17.2,192,72,114,OFF
25.6,163,151,53,OFF
7.8,155,127,153,OFF
10.0,80,64,137,OFF
9.2,139,98,134,WHITE
22.0,149,143,80,OFF
22.6,228,109,82,OFF
19.0,177,103,121,OFF
24.9,211,127,85,RED
6.0,174,143,130,WHITE
28.7,121,75,27,RED
27.6,154,151,93,RED
21.3,159,99,183,BOTH
29.6,112,129,130,OFF
2.2,134,128,119,RED
11.2,141,109,191,BOTH
9.5,214,90,20,OFF
21.2,66,119,80,OFF
7.0,198,192,97,RED
21.4,112,77,146,WHITE
26.3,95,195,147,WHITE
20.9,197,120,78,RED
17.7,179,131,152,BOTH
7.5,200,88,97,OFF
8.6,182,100,160,OFF
25.4,232,110,72,OFF
21.6,172,90,108,OFF
15.1,143,122,93,OFF
12.1,163,114,154,OFF
0.0,200,201,92,OFF
6.8,118,85,111,WHITE
30.7,124,134,132,OFF
5.2,137,139,134,RED
16.9,65,89,147,WHITE
23.4,155,156,121,OFF
5.4,74,114,96,OFF
16.9,152,34,99,RED
22.9,184,155,114,OFF
15.5,131,87,122,OFF
38.3,217,89,107,OFF
2.1,91,156,113,OFF
23.9,197,116,53,OFF
14.0,177,165,139,OFF
21.6,81,176,120,OFF
18.9,255,105,152,OFF
9.5,147,160,113,BOTH
17.2,115,101,44,OFF
0.5,93,215,98,WHITE
20.2,141,103,105,RED
17.8,145,169,142,RED
20.5,154,162,31,OFF
23.8,138,142,114,OFF
18.3,175,104,133,RED
16.6,134,124,86,WHITE
8.4,72,47,115,OFF
9.7,144,138,88,OFF
24.9,55,143,84,RED
26.9,164,135,96,OFF
13.5,110,16,84,OFF
15.8,156,81,139,RED
8.2,202,101,84,OFF
24.8,112,141,77,OFF
20.7,192,141,182,WHITE
30.9,132,123,150,OFF
8.4,220,154,39,OFF
12.4,135,90,82,OFF
17.2,116,153,122,OFF
20.6,177,148,125,RED
13.7,132,144,54,OFF
8.4,116,123,158,OFF
22.4,131,200,145,OFF
21.2,148,149,131,OFF
8.1,204,93,166,OFF
26.2,72,139,130,OFF
24.7,151,159,130,OFF
16.5,175,107,174,OFF
16.0,157,171,156,OFF
19.8,202,144,79,WHITE
8.5,147,40,137,OFF
15.6,142,141,86,OFF
0.0,173,114,132,OFF
22.4,154,150,131,RED
2.9,134,166,58,OFF
27.4,170,137,108,BOTH
12.8,124,194,123,OFF
13.7,125,123,95,RED
10.4,129,154,125,OFF
13.1,204,161,144,RED
26.7,21,126,111,RED
0.0,166,160,121,OFF
25.6,151,107,167,OFF
18.1,82,113,131,OFF
5.7,162,79,120,OFF
6.8,169,139,75,RED
28.8,173,142,139,OFF
7.8,43,175,126,OFF
6.2,205,160,163,OFF
24.5,120,119,114,OFF
18.1,177,84,41,BOTH
7.9,179,146,46,WHITE
17.1,115,172,142,OFF
7.2,176,159,90,RED
24.2,134,171,130,WHITE
23.9,67,122,117,OFF
19.6,197,112,106,RED
18.3,119,101,109,OFF
29.5,115,128,78,OFF
15.4,134,127,112,OFF
5.9,161,138,89,RED
19.0,147,125,98,OFF
32.1,172,125,100,OFF
7.3,96,100,104,OFF
12.5,120,166,149,OFF
18.7,145,133,107,RED
15.0,226,123,153,OFF
7.5,145,101,173,OFF
24.4,193,79,146,OFF
33.9,151,180,134,OFF
17.0,130,151,125,OFF
8.2,140,67,147,OFF
3.0,143,159,116,OFF
17.5,174,165,151,OFF
24.2,205,134,137,OFF
19.2,164,191,98,OFF
15.4,197,138,148,RED
10.7,111,75,116,OFF
6.7,133,144,108,RED
22.1,121,139,94,OFF
22.7,162,107,119,OFF
3.0,135,152,152,OFF
28.1,179,66,148,OFF
20.0,112,168,126,OFF
26.6,151,96,136,RED
4.7,177,92,163,OFF
4.5,67,125,107,OFF
14.2,235,146,69,OFF
19.4,138,136,164,RED
29.7,68,101,92,BOTH
21.0,156,110,85,OFF
13.5,151,86,42,OFF
7.2,146,121,135,OFF
25.2,189,171,49,WHITE
7.7,180,130,83,BOTH
28.4,162,163,136,RED
13.1,168,186,141,OFF
28.1,146,107,87,OFF
20.8,221,123,107,RED
14.3,90,213,78,OFF
11.2,155,185,91,RED
12.7,152,66,123,OFF
18.8,182,145,93,OFF
16.0,116,130,103,OFF
10.6,80,161,55,RED
14.1,156,101,157,OFF
16.0,161,97,133,OFF
0.0,209,104,144,OFF
19.1,99,108,163,OFF
7.6,196,161,80,OFF
6.2,245,84,98,OFF
1.9,135,106,38,OFF
1.1,98,61,236,WHITE
4.6,133,168,107,BOTH
9.7,150,178,153,OFF
31.0,172,117,64,RED
11.2,126,118,152,OFF
16.8,212,147,186,WHITE
18.6,105,186,110,RED
16.4,80,145,73,OFF
14.8,194,103,107,OFF
5.8,58,68,25,OFF
27.0,142,87,111,RED
29.8,255,132,145,OFF
1.9,149,105,111,OFF
7.2,105,137,101,OFF
13.2,147,108,133,BOTH
7.7,148,89,136,WHITE
19.4,156,85,47,OFF
9.6,176,190,116,RED
32.7,108,164,209,RED
24.9,217,196,60,WHITE
17.1,160,150,109,OFF
23.6,179,113,189,OFF
24.2,125,180,156,OFF
10.9,201,128,92,OFF
8.9,139,138,121,OFF
16.0,161,128,112,OFF
22.3,112,17,83,OFF
16.5,110,191,110,OFF
2.8,177,149,101,OFF
9.0,132,142,117,OFF
14.8,115,127,83,WHITE
14.8,124,136,62,WHITE
31.2,178,107,111,OFF
4.3,124,153,180,WHITE
19.4,145,80,116,OFF
27.3,150,137,99,RED
33.5,73,151,142,OFF
12.2,91,122,106,OFF
19.3,163,144,186,OFF
19.9,120,92,112,OFF
17.0,192,93,140,OFF
14.6,188,139,83,OFF
18.9,179,156,132,OFF
0.0,223,58,123,WHITE
20.8,146,150,110,OFF
16.4,176,109,93,OFF
13.6,126,122,87,OFF
31.8,248,78,124,RED
10.0,229,97,137,OFF
12.2,150,167,107,OFF
31.3,165,131,124,OFF
8.7,204,115,111,OFF
11.0,144,125,116,OFF
14.2,123,148,105,OFF
22.1,185,147,113,OFF
17.1,153,127,219,OFF
5.1,157,172,125,OFF
11.1,116,167,138,OFF
10.5,81,146,130,OFF
14.8,159,132,102,BOTH
18.8,186,155,164,OFF
18.7,141,142,101,RED
1.2,207,170,154,OFF
23.9,121,164,99,OFF
17.4,107,91,75,RED
26.5,147,88,127,OFF
18.9,146,103,69,OFF
24.2,181,167,134,OFF
19.1,119,69,65,OFF
26.2,205,145,100,RED
19.6,229,144,56,OFF
14.6,148,174,224,OFF
33.6,200,137,47,RED
22.5,107,78,113,BOTH
20.0,193,93,158,RED
5.2,192,84,153,OFF
5.1,184,109,146,OFF
17.7,149,123,100,RED
16.6,31,85,166,RED
10.5,124,186,149,RED
16.5,125,79,121,WHITE
28.1,110,181,122,OFF
21.0,155,175,101,OFF
6.3,133,164,77,RED
14.5,117,103,161,OFF
9.0,107,143,164,OFF
12.3,121,81,78,OFF
12.1,195,165,106,RED
11.6,123,127,107,OFF
5.4,129,114,111,OFF
14.4,131,83,115,OFF
10.9,163,35,150,OFF
0.0,168,90,83,OFF
31.8,28,172,79,OFF
24.1,191,114,161,RED
12.4,207,123,94,WHITE
15.5,108,155,63,RED
6.0,111,199,93,OFF
28.9,132,181,99,OFF
30.6,119,92,174,OFF
16.6,159,55,149,OFF
23.6,72,220,158,OFF
16.8,105,217,145,RED
4.7,211,137,150,OFF
12.1,112,81,85,OFF
16.4,200,167,105,WHITE
11.8,164,126,73,OFF
13.6,77,125,104,WHITE
14.7,175,164,139,BOTH
14.7,145,143,118,OFF
15.8,131,84,164,OFF
6.9,160,117,68,RED
9.7,169,155,132,OFF
5.1,178,149,63,OFF
23.2,197,140,116,RED
0.0,166,166,142,OFF
24.6,95,116,104,OFF
26.5,131,137,134,OFF
13.0,255,0,75,RED
0.0,179,112,47,OFF
12.5,245,159,134,OFF
14.9,206,115,181,OFF
7.3,159,112,73,OFF
11.3,162,90,161,RED
27.6,148,168,114,RED
20.7,80,151,60,OFF
8.0,150,161,68,OFF
2.6,198,63,113,OFF
12.8,126,124,97,OFF
13.7,166,119,61,OFF
19.4,184,119,46,OFF
11.1,113,106,79,OFF
19.5,132,116,120,OFF
30.9,109,162,112,RED
21.9,117,56,93,RED
15.0,98,198,120,OFF
13.9,114,148,153,OFF
12.5,207,128,128,WHITE
24.8,113,164,108,BOTH
10.4,155,74,149,OFF
15.8,130,104,75,OFF
15.8,197,125,104,RED
11.4,202,182,105,OFF
4.4,184,128,64,OFF
18.0,162,147,96,OFF
14.9,140,107,31,OFF
19.4,102,148,188,OFF
11.1,228,194,76,WHITE
25.1,119,168,175,RED
8.4,176,127,114,OFF
29.1,192,156,135,OFF
1.4,127,152,93,OFF
18.9,191,149,121,OFF
19.2,180,172,138,OFF
9.0,219,172,139,WHITE
18.8,131,125,143,OFF
25.6,98,154,98,OFF
0.0,129,115,94,OFF
19.4,158,94,50,OFF
0.0,152,119,133,OFF
7.7,134,127,155,OFF
28.4,73,66,176,OFF
10.7,169,163,125,OFF
6.0,229,24,82,OFF
13.8,168,234,46,OFF
31.9,174,187,154,OFF
0.8,173,120,42,WHITE
7.0,166,130,99,OFF
27.4,187,141,104,OFF
30.2,166,107,110,OFF
14.6,137,137,114,OFF
5.5,118,124,118,RED
32.1,140,126,17,OFF
28.1,162,137,113,RED
20.8,137,79,25,OFF
8.9,162,131,141,OFF
15.0,167,136,91,RED
14.1,183,135,27,OFF
18.0,201,121,80,OFF
27.0,153,173,90,RED
22.4,97,116,159,BOTH
6.8,136,138,120,OFF
26.4,151,179,126,OFF
17.9,76,127,159,OFF
20.9,205,138,109,OFF
27.1,155,126,142,OFF
6.5,165,177,139,RED
15.1,204,120,62,OFF
11.1,124,179,171,RED
2.9,173,126,57,OFF
18.2,145,97,149,OFF
35.5,142,156,53,WHITE
0.7,119,118,136,OFF
15.1,217,153,186,OFF
20.5,135,25,104,OFF
16.4,178,130,102,OFF
14.5,74,112,137,OFF
5.0,197,89,100,OFF
17.3,192,108,184,OFF
9.3,154,108,120,OFF
0.0,141,128,100,RED
24.9,166,77,91,OFF
23.1,242,142,76,OFF
15.8,79,182,88,OFF
17.2,181,140,99,RED
24.0,113,161,93,RED
17.2,149,172,87,RED
22.6,140,177,195,OFF
13.0,133,201,72,OFF
25.9,149,111,118,OFF
18.0,104,102,136,WHITE
16.9,191,160,137,RED
5.2,78,157,110,BOTH
17.7,171,159,103,OFF
8.7,137,202,130,OFF
10.3,103,130,123,OFF
8.9,158,146,102,OFF
6.9,87,92,51,OFF
32.4,151,212,94,RED
26.0,93,117,67,OFF
30.7,168,118,86,OFF
5.6,113,116,114,OFF
16.0,132,105,127,OFF
5.1,161,102,183,OFF
9.8,119,110,91,OFF
8.1,147,77,143,OFF
25.3,89,100,125,OFF
12.2,175,204,164,WHITE
23.9,220,158,135,RED
20.2,255,165,73,OFF
33.8,153,175,45,OFF
3.6,181,200,125,OFF
25.5,78,62,92,BOTH
24.6,210,82,74,OFF
7.6,181,99,63,OFF
23.4,130,112,119,RED
18.1,199,118,172,OFF
13.6,139,113,96,WHITE
8.8,131,138,136,OFF
9.6,169,131,108,OFF
31.8,107,102,62,OFF
15.4,191,46,141,WHITE
21.6,107,92,69,WHITE
9.1,108,109,113,OFF
9.2,113,120,99,OFF
24.0,180,86,148,OFF
4.6,125,111,71,BOTH
12.1,96,86,128,OFF
15.7,125,125,79,RED
16.3,148,89,92,OFF
14.0,102,97,0,OFF
18.6,104,79,195,OFF
20.9,234,124,134,OFF
21.3,115,96,82,RED
7.5,137,164,68,OFF
13.1,135,145,93,OFF
24.9,133,127,141,OFF
22.5,175,99,38,OFF
4.4,188,144,107,WHITE
18.2,137,156,182,OFF
0.0,100,135,68,RED
15.8,201,191,116,RED
30.6,146,147,199,RED
7.8,219,165,137,WHITE
8.7,60,135,117,OFF
21.5,158,156,132,WHITE
3.1,227,99,97,OFF
10.3,136,112,164,OFF
20.2,141,143,97,RED
10.3,162,143,35,OFF
13.5,127,149,97,RED
21.3,137,172,74,RED
18.8,136,75,101,RED
17.5,125,92,102,OFF
12.7,199,138,160,OFF
18.4,168,102,140,OFF
14.4,160,255,123,RED
19.1,182,149,112,OFF
11.4,139,127,71,OFF
13.9,119,110,27,OFF
7.5,126,111,117,OFF
15.1,150,131,144,OFF
8.9,107,134,108,OFF
6.5,130,112,91,OFF
17.5,129,119,131,RED
17.1,235,181,109,OFF
21.6,38,183,179,OFF
11.9,143,139,161,OFF
18.7,219,78,150,RED
19.8,155,150,142,OFF
18.9,180,189,62,OFF
8.8,154,182,139,OFF
16.6,123,158,127,OFF
18.3,60,184,136,OFF
15.5,158,132,132,OFF
0.0,119,154,130,RED
16.7,118,104,219,OFF
33.1,130,141,110,OFF
12.5,220,181,149,OFF
9.6,246,107,94,OFF
18.4,158,97,144,WHITE
17.9,131,133,150,OFF
24.9,102,121,127,RED
5.3,168,155,178,RED
21.2,221,112,78,OFF
20.1,140,196,93,WHITE
14.3,54,80,121,OFF
18.1,177,178,147,OFF
23.6,189,100,120,OFF
22.4,86,61,163,OFF
6.3,157,139,86,OFF
21.9,168,120,68,OFF
14.9,147,87,125,OFF
16.0,118,65,109,OFF
16.0,190,129,134,OFF
14.2,134,167,111,OFF
24.9,90,152,99,OFF
14.7,68,132,110,OFF
6.4,200,148,114,OFF
12.2,174,129,100,OFF
16.8,153,75,105,OFF
25.2,132,75,97,OFF
20.2,128,122,146,OFF
8.6,107,124,120,WHITE
35.3,132,162,201,OFF
17.5,65,159,119,OFF
25.6,120,153,91,OFF
14.2,137,119,218,OFF
19.7,174,77,129,OFF
22.1,148,145,152,OFF
25.1,182,150,136,OFF
23.8,204,38,137,OFF
22.4,192,98,134,RED
12.9,169,103,69,OFF
10.8,150,134,127,OFF
18.1,110,99,60,RED
22.9,179,128,106,OFF
13.6,217,122,84,RED
23.9,163,124,127,OFF
27.0,227,102,126,OFF
8.1,89,105,131,OFF
8.7,103,88,124,BOTH
14.3,184,144,89,OFF
17.9,160,152,102,WHITE
11.2,202,100,149,OFF
26.2,149,188,155,OFF
18.8,115,118,67,WHITE
15.7,141,188,52,OFF
3.9,88,105,84,BOTH
4.9,104,52,154,OFF
17.6,189,145,160,WHITE
0.0,185,139,76,OFF
23.5,164,131,125,OFF
14.1,81,105,185,WHITE
41.3,135,128,129,OFF
33.8,101,110,169,OFF
13.9,197,118,152,OFF
14.5,126,162,77,OFF
23.3,106,137,105,BOTH
29.0,151,153,114,OFF
2.3,124,121,117,OFF
1.1,209,117,149,OFF
10.4,120,85,129,RED
20.1,94,115,0,OFF
19.4,63,2,61,OFF
23.9,148,107,26,OFF
5.8,127,127,119,OFF
0.0,92,151,122,WHITE
22.3,197,119,124,OFF
8.8,176,143,75,OFF
0.0,149,46,139,OFF
16.6,204,128,141,RED
21.7,176,65,63,OFF
14.4,117,83,55,OFF
11.7,108,123,113,OFF
14.1,183,179,183,RED
12.4,166,144,179,OFF
4.6,157,130,135,OFF
9.7,116,129,84,OFF
19.6,174,102,147,OFF
18.0,119,109,95,BOTH
16.7,146,146,82,OFF
7.4,208,77,28,WHITE
13.9,123,152,117,OFF
0.0,87,115,88,OFF
16.8,107,161,116,OFF
26.8,190,167,22,BOTH
3.6,160,65,119,OFF
10.7,145,107,17,WHITE
18.0,129,97,155,OFF
25.4,169,60,133,OFF
11.8,116,90,102,RED
9.9,162,223,135,WHITE
0.0,120,153,74,OFF
16.2,114,203,115,OFF
31.7,124,162,144,OFF
17.6,135,101,0,OFF
15.2,148,115,95,OFF
18.0,159,152,112,OFF
15.3,2,146,105,OFF
8.9,117,108,170,OFF
22.0,134,72,68,BOTH
17.2,210,255,88,OFF
15.5,106,124,37,OFF
7.6,156,117,172,BOTH
25.8,210,134,103,OFF
20.7,97,120,95,OFF
11.0,166,134,110,OFF
23.4,118,179,138,OFF
11.4,129,125,126,RED
9.1,117,85,217,OFF
9.3,120,123,130,OFF
1.2,255,112,94,OFF
19.2,184,184,90,WHITE
0.8,194,175,97,OFF
5.6,169,134,53,OFF
0.0,85,81,114,OFF
14.7,166,83,143,OFF
14.2,193,130,88,OFF
12.8,115,143,81,OFF
7.1,188,115,172,OFF
6.0,178,111,56,OFF
19.1,224,107,31,OFF
11.0,133,129,67,OFF
17.9,106,38,52,RED
8.3,135,87,128,OFF
16.8,207,106,98,OFF
25.8,76,176,104,OFF
20.1,67,98,158,OFF
12.1,153,137,85,OFF
17.4,132,138,143,RED
13.5,150,179,172,OFF
15.5,188,178,95,BOTH
12.8,128,127,142,BOTH
14.1,75,111,103,OFF
17.1,232,104,149,RED
7.5,110,120,51,OFF
7.3,107,113,48,OFF
4.3,194,151,97,OFF
2.6,134,146,77,OFF
5.7,147,152,92,WHITE
16.7,169,178,104,RED
8.3,193,201,141,RED
19.5,136,134,96,OFF
15.7,211,172,80,OFF
0.0,64,116,99,OFF
20.6,180,175,82,OFF
21.9,116,170,76,OFF
7.4,205,168,49,OFF
18.8,155,133,115,OFF
8.5,123,104,90,OFF
16.2,176,76,151,OFF
5.3,186,128,55,OFF
1.1,175,189,91,WHITE
12.3,108,118,184,OFF
14.4,130,160,75,OFF
12.2,150,162,103,RED
5.9,148,119,65,BOTH
12.2,180,180,59,RED
17.5,69,18,173,OFF
15.0,163,83,119,OFF
16.9,138,95,118,BOTH
10.0,116,98,46,RED
24.8,120,143,127,OFF
6.0,141,141,158,OFF
19.3,5,145,158,OFF
24.8,122,153,139,OFF
19.2,115,93,68,OFF
13.8,171,83,125,OFF
11.2,117,145,139,BOTH
23.7,141,106,42,OFF
4.0,212,69,68,OFF
7.6,190,167,148,OFF
12.2,186,183,147,OFF
25.3,130,189,51,OFF
18.4,171,137,144,RED
7.7,140,154,116,OFF
12.9,142,182,143,OFF
10.5,166,105,87,RED
9.7,126,172,138,OFF
23.2,210,140,146,WHITE
4.4,143,165,99,WHITE
